"Station_ID","min_date","max_date","avg_percentflooded (%)","Year","percent_waterlevel_complete",
"CRMS0002-H01","","","0","2006","0",
"CRMS0002-H01","9/29/2007 9:00:00 AM","12/31/2007 11:00:00 PM","78.1696393674268","2007","25.5707762557078",
"CRMS0002-H01","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","74.6332509213539","2008","93.37899543379",
"CRMS0002-H01","1/1/2009 12:00:00 AM","12/31/2009 11:00:00 PM","72.9514895037815","2009","97.6598173515982",
"CRMS0002-H01","1/1/2010 12:00:00 AM","12/31/2010 11:00:00 PM","69.1183340842103","2010","97.6255707762557",
"CRMS0002-H01","1/1/2011 12:00:00 AM","12/31/2011 11:00:00 PM","70.5419167375878","2011","98.5844748858448",
"CRMS0002-H01","1/1/2012 12:00:00 AM","12/31/2012 11:00:00 PM","83.6091944412736","2012","99.3150684931507",
"CRMS0002-H01","1/1/2013 12:00:00 AM","12/31/2013 11:00:00 PM","80.8505764164791","2013","99.851598173516",
"CRMS0002-H01","1/1/2014 12:00:00 AM","12/31/2014 11:00:00 PM","43.5533686814624","2014","99.7831050228311",
"CRMS0002-H01","1/1/2015 12:00:00 AM","12/31/2015 11:00:00 PM","58.0566512879423","2015","98.3333333333333",
"CRMS0002-H01","1/1/2016 12:00:00 AM","12/31/2016 11:00:00 PM","76.9070966311934","2016","98.9155251141553",
"CRMS0002-H01","1/1/2017 12:00:00 AM","12/31/2017 11:00:00 PM","65.5414738992918","2017","99.0867579908676",
"CRMS0002-H01","1/1/2018 12:00:00 AM","12/31/2018 11:00:00 PM","60.6049981242117","2018","97.7397260273973",
"CRMS0002-H01","1/1/2019 12:00:00 AM","12/31/2019 11:00:00 PM","79.3067938766095","2019","99.7945205479452",
"CRMS0002-H01","1/1/2020 12:00:00 AM","12/31/2020 11:00:00 PM","75.9803911222714","2020","83.8356164383562",
"CRMS0002-H01","1/1/2021 12:00:00 AM","12/31/2021 11:00:00 PM","77.8793409155473","2021","93.6643835616438",
"CRMS0002-H01","1/1/2022 12:00:00 AM","4/28/2022 7:00:00 AM","57.2580624172265","2022","31.1415525114155",
"CRMS0003-H01","","","0","2006","0",
"CRMS0003-H01","11/1/2007 12:00:00 PM","12/31/2007 11:00:00 PM","10.6060598756157","2007","16.5753424657534",
"CRMS0003-H01","1/1/2008 12:00:00 AM","12/31/2008 11:00:00 PM","21.4253185174713","2008","100.27397260274",
